Entry Date,Instrument,Timeframe,Price Level,Last Triggered
17-Mar-18,EURUSD,Daily,1.22,
17-Mar-18,EURUSD,Daily,1.25,
17-Mar-18,EURUSD,Daily,1.24,
17-Mar-18,EURUSD,Daily,1.24,
17-Mar-18,EURUSD,4 hr,1.2275,
17-Mar-18,EURUSD,4 hr,1.2415,
17-Mar-18,EURUSD,4 hr,1.22,
17-Mar-18,EURUSD,1 hr,1.23,
17-Mar-18,EURUSD,1 hr,1.226,
17-Mar-18,EURUSD,1 hr,1.232,
19-Mar-18,GBPUSD,4 hr,1.3988,
19-Mar-18,GBPUSD,4 hr,1.3795,
19-Mar-18,GBPUSD,4 hr,1.3905,
19-Mar-18,GBPUSD,Daily,1.3760,
19-Mar-18,GBPUSD,Daily,1.4,
19-Mar-18,GBPUSD,1 hr,1.3925,
19-Mar-18,GBPUSD,1 hr,1.3895,
19-Mar-18,GBPUSD,1 hr,1.3855,
19-Mar-18,USDCAD,Daily,1.2924,
20-Mar-18,AUDUSD,1 hr,0.7720,
20-Mar-18,AUDUSD,Weekly,0.7775,
20-Mar-18,NZDUSD,Weekly,0.7330,
20-Mar-18,NZDUSD,Daily,0.7207,
20-Mar-18,AUDUSD,Daily,0.7507,
20-Mar-18,GBPJPY,4 hr,149.40,
20-Mar-18,GBPJPY,1 hr,148.50,
20-Mar-18,USDJPY,1 hr,106.31,
20-Mar-18,USDJPY,4 hr,105.70,
20-Mar-18,USDSGD,Daily,1.3086,
20-Mar-18,USDSGD,4 hr,1.3190,
20-Mar-18,USDSGD,4 hr,1.3147,
